Model,Standardized,R2_train,R2_test,RMSE_train,RMSE_test,MAE_train,MAE_test,CV_R2_mean,CV_R2_std,Standardized_label
Linear Regression,False,0.6276882833771824,0.6537272118714512,0.5898297137689881,0.5707923250437336,0.46583290166031976,0.4476845671135603,0.6246298470613632,0.015993583494348197,WITHOUT
Linear Regression,True,0.6276882833771824,0.6537272118714512,0.5898297137689881,0.5707923250437336,0.46583290166031965,0.44768456711356036,0.6246298470613632,0.015993583494348134,WITH
Ridge (alpha=1.0),False,0.6276846101471936,0.6537228683824945,0.5898326233938431,0.5707959049126562,0.4658803646670045,0.4476853666581251,0.6246480940911111,0.015883395746667126,WITHOUT
Ridge (alpha=1.0),True,0.6276875037842405,0.6537222130806237,0.5898303312983599,0.5707964450052773,0.465857873861375,0.44769689135747337,0.6246334164482523,0.015947837761946117,WITH
Lasso (alpha=0.1),False,0.5979478046797606,0.6250616871874239,0.6129351312185999,0.5939485868379245,0.48680261843469746,0.47035127168314045,0.5950875484570537,0.011974631893206864,WITHOUT
Lasso (alpha=0.1),True,0.5972616603898687,0.6293074669719286,0.6134579273442302,0.5905760924372222,0.48197510839991814,0.46001061560929307,0.5960927037531316,0.008389393474031892,WITH
Random Forest,False,0.9790901290859847,0.857761768778964,0.13978126652669062,0.3658281446872033,0.10122292896779571,0.26595570728004053,0.8328586518813819,0.014709231505085818,WITHOUT
Random Forest,True,0.9790799847869415,0.8574347159613115,0.13981516943872513,0.36624848325398796,0.10124499634759947,0.26602480872065876,0.8328362166740464,0.014688054919606449,WITH
Gradient Boosting,False,0.7985481678468065,0.7687634755719057,0.43386928498829985,0.4664414744933155,0.3315833305887871,0.35244674365465434,0.7454462469879467,0.01027493316795854,WITHOUT
Gradient Boosting,True,0.7985481678468065,0.7687634755719057,0.43386928498829985,0.4664414744933155,0.3315833305887871,0.35244674365465434,0.7454491157233407,0.010269483516910656,WITH
SVR (RBF kernel),False,0.3630068544637749,0.4075748571240928,0.7715084283313779,0.746596043254406,0.5853000704071567,0.5579510758063421,0.3598507405201481,0.038947823070802454,WITHOUT
SVR (RBF kernel),True,0.7467743619791434,0.7221561499626803,0.4864375947167417,0.5112923998042046,0.3539177601732279,0.37592655402097913,0.7157497772291237,0.019087853856742734,WITH
