Country Name,political_stability
Luxembourg,1.3646606159210208
New Zealand,1.3582300567626953
Iceland,1.356658716201782
Switzerland,1.3005351877212532
Finland,1.2958807754516601
Singapore,1.2749396300315856
Norway,1.2387931990623477
Malta,1.202194128036499
Brunei Darussalam,1.1891291594505315
Sweden,1.148413443565369
Samoa,1.1153573107719414
Ireland,1.1027167940139777
Austria,1.082410585880279
Denmark,1.0609109735488895
Canada,1.0413019227981568
Japan,1.0363956522941593
Netherlands,1.030170638561249
Botswana,1.0231328368186952
Vanuatu,0.9920618999004364
Portugal,0.9877035927772522
Australia,0.9808049535751344
Slovenia,0.9787906098365788
Qatar,0.9605231106281289
Czechia,0.947504006624222
"Bahamas, The",0.945917017459869
Bhutan,0.8998124742507937
Mauritius,0.8917063117027278
Uruguay,0.8872127199172976
Cabo Verde,0.862806769609451
Slovak Republic,0.854087612628937
Germany,0.8351316666603091
Hungary,0.8273119640350339
"Hong Kong SAR, China",0.8246791829168799
United Arab Emirates,0.8003977680206299
Tonga,0.7578245061635969
Belgium,0.7558275175094602
Lithuania,0.7509790527820589
Oman,0.7436594796180727
Mongolia,0.6972096574306488
Estonia,0.695323326587677
Costa Rica,0.6894417166709901
Namibia,0.6663936376571652
Poland,0.6642615956068036
Croatia,0.5589170061051845
Italy,0.5310475218296051
Latvia,0.524711101949215
United Kingdom,0.4773832538723946
Cyprus,0.4765732598304748
Chile,0.44046603552997127
France,0.4363461390510202
"Korea, Rep.",0.4160244470834732
Maldives,0.4122812917083503
Fiji,0.40387987658381463
United States,0.382545472085476
Solomon Islands,0.312073615938425
Bulgaria,0.28991455065086486
Kuwait,0.2568749210238458
Romania,0.25107433632016174
Belize,0.2397400145325811
Suriname,0.23561825219541785
Benin,0.22783702917397008
Greece,0.2148444151878357
Zambia,0.20222094863653184
Malaysia,0.2021675609610976
Montenegro,0.1918995666503906
Viet Nam,0.18521654158830642
Gabon,0.15865731265395883
Panama,0.13669195234775544
"Gambia, The",0.13079948236350913
Spain,0.11651192713528868
Lao PDR,0.09710151828825463
Belarus,0.04588114596903326
Kazakhstan,0.04388976967893546
Dominican Republic,0.020740018441574675
Jamaica,0.017924140989780447
Ghana,-0.01741416482254867
El Salvador,-0.041479231482371655
Lesotho,-0.043858751449733974
Equatorial Guinea,-0.05524897217750545
Albania,-0.0673376227170229
Argentina,-0.06885584099683913
Timor-Leste,-0.18229424849152573
Eswatini,-0.21770312098786243
South Africa,-0.22266763761639596
Brazil,-0.2329947710596025
Senegal,-0.23584721080958837
Mozambique,-0.2506000803504142
Moldova,-0.2535661776503548
Comoros,-0.2728740692883727
Madagascar,-0.2921954371035099
Armenia,-0.29571979308500884
Cambodia,-0.31631517089903344
Djibouti,-0.32627306848764404
Guyana,-0.32636677749454984
Nicaragua,-0.3307816173136234
Tunisia,-0.33278843089938165
Jordan,-0.334675793486531
Morocco,-0.35393322050571446
Saudi Arabia,-0.3666274826880544
Tanzania,-0.3696849938109517
North Macedonia,-0.3988618316128853
Serbia,-0.40954776192083964
Mauritania,-0.4368959248065948
Honduras,-0.4398793376237153
China,-0.44550700813531874
Bosnia and Herzegovina,-0.4482372717559338
Bolivia,-0.4500848311185836
Bahrain,-0.4512305681034922
Paraguay,-0.46047428572084753
Sierra Leone,-0.46222263857722234
Ecuador,-0.4745270643383265
Togo,-0.4809465135633947
Rwanda,-0.5201243688073013
Burkina Faso,-0.5887050846219065
Papua New Guinea,-0.6018468451499939
Mexico,-0.616910598129034
"Congo, Rep.",-0.6417008611559872
Thailand,-0.6587646555900574
Guatemala,-0.6671193093061447
Guinea-Bissau,-0.6671428287029264
Peru,-0.6980588382482528
Kyrgyz Republic,-0.6997687751054769
Georgia,-0.727752599716187
Azerbaijan,-0.7403348368406294
Angola,-0.7514883124828339
Uzbekistan,-0.7519015991687773
Ukraine,-0.792761238217353
Sri Lanka,-0.828656125590205
Cameroon,-0.8369579577445987
Niger,-0.878299231156707
Mali,-0.9009108164906499
"Egypt, Arab Rep.",-0.9318096619844439
Russian Federation,-0.9404682421684266
Zimbabwe,-0.9472774589061739
Indonesia,-0.9620613038539885
Uganda,-0.991105289459228
Tajikistan,-1.0217617785930635
India,-1.0504781103134158
Haiti,-1.054532904624939
Libya,-1.0604729057848445
Turkiye,-1.0919123816490173
Nepal,-1.1019085267186168
"Iran, Islamic Rep.",-1.1260256528854367
Philippines,-1.1457516622543331
Kenya,-1.151648933887482
"Venezuela, RB",-1.1633658647537235
Israel,-1.1727500486373899
Bangladesh,-1.1760707938671109
Guinea,-1.1858714532852184
Algeria,-1.1896471118927006
Cote d'Ivoire,-1.216451473534107
Lebanon,-1.3704229629039761
Colombia,-1.4107484006881714
Chad,-1.4142067289352405
Ethiopia,-1.519665215015411
Syrian Arab Republic,-1.5290047809481622
Burundi,-1.690225882530212
West Bank and Gaza,-1.7698941612243644
South Sudan,-1.8075979042053205
Central African Republic,-1.8527252292633059
Pakistan,-2.073885216712952
"Yemen, Rep.",-2.137489037513733
"Congo, Dem. Rep.",-2.147861523628236
Sudan,-2.165324902534485
Iraq,-2.2944305181503286
Afghanistan,-2.4808753490447994
